gene,gencodeID_transcript_MANE
MCTP1,ENST00000515393
ATP2A3,ENST00000397041
MERTK,ENST00000295408
HYOU1,ENST00000617285
GTF2I,ENST00000573035
EPHA7,ENST00000369303
ANO2,ENST00000682330
DDIAS,ENST00000533655
INTS8,ENST00000523731
KANK4,ENST00000371153
PHC3,ENST00000495893
TMEM67,ENST00000453321
NLRP4,ENST00000301295
BNC1,ENST00000345382
ATP2A1,ENST00000395503
SEZ6,ENST00000317338
ANKRD44,ENST00000282272
FLT3,ENST00000241453
EMC1,ENST00000477853
IGHMBP2,ENST00000255078
MLIP,ENST00000502396
DLGAP4,ENST00000339266
SNX19,ENST00000265909
EVC,ENST00000264956
HDAC7,ENST00000080059
SMG8,ENST00000300917
RECQL5,ENST00000317905
LVRN,ENST00000357872
R3HDM2,ENST00000402412
KCNH1,ENST00000271751
STOX1,ENST00000298596
MED24,ENST00000394128
KCNH5,ENST00000322893
SCUBE1,ENST00000360835
CLCN1,ENST00000343257
EPHB4,ENST00000358173
KANSL1L,ENST00000281772
CEP120,ENST00000306467
RNF111,ENST00000348370
BMP1,ENST00000306385
ANO1,ENST00000355303
MYOCD,ENST00000425538
ARHGEF2,ENST00000361247
EPHA4,ENST00000281821
EPHB2,ENST00000374630
RIN3,ENST00000216487
EIF4ENIF1,ENST00000330125
EPHB1,ENST00000398015
MORC1,ENST00000232603
NR3C2,ENST00000358102
PKN2,ENST00000370521
PIGG,ENST00000453061
EPHA3,ENST00000336596
PPP1R12B,ENST00000608999
CBLB,ENST00000394030
ICE2,ENST00000261520
ANO3,ENST00000256737
USP15,ENST00000280377
EML4,ENST00000318522
CLSTN1,ENST00000377298
RAB3GAP1,ENST00000264158
PRRT3,ENST00000412055
FBRS,ENST00000356166
RAI14,ENST00000265109
PEX6,ENST00000304611
GRIK5,ENST00000593562
PTPRN,ENST00000295718
NEK9,ENST00000238616
OSMR,ENST00000274276
USP37,ENST00000258399
ZNF280D,ENST00000267807
DLGAP3,ENST00000373347
MTHFD1L,ENST00000367321
ERN1,ENST00000433197
TRPC4,ENST00000379705
VPS54,ENST00000272322
FCRL5,ENST00000361835
SYNPO2L,ENST00000394810
RBM15,ENST00000369784
DLGAP1,ENST00000315677
SYCP1,ENST00000369522
PARG,ENST00000616448
KIT,ENST00000288135
DLG2,ENST00000376104
BICD1,ENST00000652176
IPO11,ENST00000325324
NEDD4L,ENST00000400345
NLRX1,ENST00000409109
CHTF18,ENST00000262315
SYNE3,ENST00000682763
PITPNM3,ENST00000262483
KIF23,ENST00000679126
BICC1,ENST00000373886
WDR59,ENST00000262144
EXOC4,ENST00000253861
ARHGAP6,ENST00000337414
PIWIL2,ENST00000356766
PAM,ENST00000438793
VPS18,ENST00000220509
FHIP1B,ENST00000449352
EFTUD2,ENST00000426333
